date,pi,y,r
1984Q2,3.75346549681765,-0.838261432842025,10.5566666666667
1984Q3,3.46322509724608,-0.764526256649134,11.39
1984Q4,3.43349747655637,-0.839693877009218,9.26666666666667
1985Q1,3.65529564320823,-0.764531044715611,8.47666666666667
1985Q2,3.6221949315685,-0.771459411575215,7.92333333333333
1985Q3,2.47909067488727,-0.129143905982509,7.9
1985Q4,4.05720398602156,-0.247650704705293,8.10333333333333
1986Q1,2.07412390916843,-0.160369809157324,7.82666666666667
1986Q2,-1.95181845033439,-0.537656981933132,6.92
1986Q3,2.43828856198256,-0.400557829044068,6.20666666666667
1986Q4,2.78577961726718,-0.677504043001775,6.26666666666667
1987Q1,4.79909775865828,-0.742452611765287,6.22
1987Q2,4.50642181145575,-0.465320623736787,6.65
1987Q3,4.22291312235075,-0.389397285506909,6.84333333333333
1987Q4,3.71663533363993,0.525347904876128,6.91666666666667
1988Q1,3.10927144955251,0.260391639816859,6.66333333333333
1988Q2,4.56235342416029,0.785758091137012,7.15666666666667
1988Q3,4.84717781505317,0.593763655437307,7.98333333333333
1988Q4,4.34605194764153,1.14181795377153,8.47
1989Q1,4.51857677349921,1.3815183894387,9.44333333333333
1989Q2,6.41405236522168,1.37469639323928,9.72666666666667
1989Q3,3.11536421036678,1.35161731646107,9.08333333333333
1989Q4,4.04581569995344,0.795564269123794,8.61333333333333
1990Q1,6.82700043220521,1.14337788947889,8.25
1990Q2,3.93785563762492,0.783157169944459,8.24333333333333
1990Q3,6.85000765703734,0.150918700326841,8.16
1990Q4,6.7346734737427,-1.43881781223101,7.74333333333333
1991Q1,2.97915974954144,-2.56332708314915,6.42666666666667
1991Q2,2.36745450658162,-2.42194167215377,5.86333333333333
1991Q3,3.03736915664814,-2.53893931740325,5.64333333333333
1991Q4,3.30500057627354,-2.80848197383605,4.81666666666667
1992Q1,2.70140920631192,-2.2324884452237,4.02333333333333
1992Q2,3.06514909822795,-1.77183072992424,3.77
1992Q3,3.04183975408741,-1.41528405136615,3.25666666666667
1992Q4,3.48853124552591,-1.00955796757258,3.03666666666667
1993Q1,2.89958010027078,-1.47992789997176,3.04
1993Q2,2.87871236681703,-1.54998474761925,3
1993Q3,1.84629914687626,-1.73031609658203,3.06
1993Q4,3.30201370663055,-1.04161333088371,2.99
1994Q1,2.00456000387739,-0.743300184808504,3.21333333333333
1994Q2,2.26578151996115,-0.0680344350946882,3.94
1994Q3,3.68832029644963,-0.1663802247867,4.48666666666667
1994Q4,2.32143508721663,0.284302542872972,5.16666666666667
1995Q1,2.92716684932905,-0.0528754700123812,5.81
1995Q2,3.25670189356799,-0.454374385700973,6.02
1995Q3,2.01115299617882,-0.310051832092562,5.79666666666667
1995Q4,2.17462751554223,-0.349792225315682,5.72
1996Q1,3.54099257273965,-0.330450366553769,5.36333333333333
1996Q2,3.42467845392456,0.556911550462047,5.24333333333333
1996Q3,2.2951927812084,0.634049767072931,5.30666666666667
1996Q4,3.46030219963147,0.805036643590462,5.28
1997Q1,2.42958124685764,0.543417980149918,5.27666666666667
1997Q2,0.91771862134884,1.25517706838139,5.52333333333333
1997Q3,1.99501660441577,1.51956840383871,5.53333333333333
1997Q4,2.15009820980292,1.36822473035707,5.50666666666667
1998Q1,0.823893185204128,1.34523811269442,5.52
1998Q2,1.31470948264933,1.2237584372178,5.5
1998Q3,2.04562172335407,1.4237967160696,5.53333333333333
1998Q4,1.87277695791863,1.9599696207214,4.86
1999Q1,1.4595596976843,1.82531288898762,4.73333333333333
1999Q2,2.98358403745098,1.58444973858121,4.74666666666667
1999Q3,2.96149426822971,1.82705642011243,5.09333333333333
1999Q4,2.93972919166094,2.37419439744926,5.30666666666667
2000Q1,3.93859030882489,1.65765267578433,5.67666666666667
2000Q2,3.12318588437783,2.42223681536782,6.27333333333333
2000Q3,3.63885215400757,1.53742248011302,6.52
2000Q4,2.84152102119499,1.20477796493752,6.47333333333333
2001Q1,3.80810187709812,0.00516824888876499,5.59333333333333
2001Q2,2.79483716563647,-0.187632749009303,4.32666666666667
2001Q3,1.12750239080945,-1.34994494380773,3.49666666666667
2001Q4,-0.300356687662529,-1.78948249878701,2.13333333333333
2002Q1,1.27496123691202,-1.62832762650869,1.73333333333333
2002Q2,3.13259106186301,-1.65996692460393,1.75
2002Q3,2.14875018896556,-1.8796897938282,1.74
2002Q4,2.3577154280332,-2.36959923406399,1.44333333333333
2003Q1,4.09285500335912,-2.45393530187563,1.25
2003Q2,-0.654962395038439,-2.18345599538647,1.24666666666667
2003Q3,2.9750704040989,-1.14251465568902,1.01666666666667
2003Q4,1.51528998745434,-0.602126524048785,0.996666666666667
2004Q1,3.37070573723501,-0.658139770664334,1.00333333333333
2004Q2,3.13001774957193,-0.512190715521221,1.01
2004Q3,2.5428303893456,-0.202704060511572,1.43333333333333
2004Q4,4.27212324955306,0.175514605770921,1.95
2005Q1,2.01511761198283,0.660851704792975,2.47
2005Q2,2.69407805399631,0.559224921326695,2.94333333333333
2005Q3,6.01309581170568,0.763790401701314,3.46
2005Q4,3.71279351126752,0.762444381259897,3.98
2006Q1,2.07757860036928,1.56673652757622,4.45666666666667
2006Q2,3.59343624498827,1.31072899046671,4.90666666666667
2006Q3,3.75837265943524,0.973756710264517,5.24666666666667
2006Q4,-1.64406314473133,1.37081064508493,5.24666666666667
2007Q1,3.90248277384657,1.20278330062451,5.25666666666667
2007Q2,4.50475380244342,1.32809291597962,5.25
2007Q3,2.52406945064187,1.40320495133057,5.07333333333333
2007Q4,4.87671799570961,1.53058083657953,4.49666666666667
