Parameter,Estimate,SE
kappa,0.05050415428079266,0.3034669425127822
rho_d,0.5,0.14306355547409882
rho_v,0.5114766152736457,0.11988093387897436
sigma_d,0.6170585682026217,0.33078980336887914
sigma_v,0.8467521620844461,0.337616584713613
sigma_my,2.324734090440502,0.9121069206157971
sigma_mpi,0.010000466223374693,1.1775899717891372
