Parameter,Estimate,SE
kappa,0.6106553102349425,0.27428892393565263
rho_d,0.5000187253102046,0.008581667063970785
rho_v,0.99,0.013758659983239564
sigma_d,1.8966397918785742,0.8927418780499455
sigma_v,0.24047982420818742,0.12563881015525794
sigma_my,0.26796212902129635,0.6171539904332588
sigma_mpi,0.02045720453707916,0.2726156562311567
