Moment,Data,Simulated,Difference
A_pi_y,0.02275060384744748,-0.19151081807271456,-0.21426142192016204
A_pi_r,0.07400589085131852,0.09178236357824843,0.017776472726929907
A_y_pi,-0.008814542774509163,-0.07836897681529256,-0.0695544340407834
A_r_pi,0.02257022853449156,-0.017718161510850084,-0.04028839004534164
S_pi_pi,3.6604932717540763,4.995503973873308,1.3350107021192312
S_y_y,0.9669782061123947,0.5418594055916617,-0.42511880052073303
cov_pi_y,1.4325383509181435,-0.3894680784496747,-1.8220064293678182
cov_pi_r,1.573216805629231,1.3972525330283854,-0.17596427260084568
cov_y_r,2.8091564580746287,0.694045874716419,-2.11511058335821
acov_pi_1,1.8866854345223374,1.3353943340974956,-0.5512911004248418
acov_y_1,2.842309988864184,3.4984647821562054,0.6561547932920213
